Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Qiyana,0,0,0%,,,,,-,,,,,,,
 Senna,0,0,0%,,,,,-,,,,,,,
 Aphelios,0,0,0%,,,,,-,,,,,,,
 Sett,0,0,0%,,,,,-,,,,,,,
 Samira,0,0,0%,,,,,-,,,,,,,
 Seraphine,0,0,0%,,,,,-,,,,,,,
 Gwen,0,0,0%,,,,,-,,,,,,,
 Akshan,0,0,0%,,,,,-,,,,,,,
 Vex,0,0,0%,,,,,-,,,,,,,
 Zeri,0,0,0%,,,,,-,,,,,,,
 Belveth,0,0,0%,,,,,-,,,,,,,
 Nilah,0,0,0%,,,,,-,,,,,,,
 Milio,0,0,0%,,,,,-,,,,,,,
 Naafiri,0,0,0%,,,,,-,,,,,,,
 Briar,0,0,0%,,,,,-,,,,,,,
